ID	Titles
3081	042913-SludgeD1_19-24, Cmpd 18103, +MSn(516.5413), 37.95 min
3099	042913-SludgeD1_13-18, Cmpd 17049, +MSn(411.8771), 36.78 min;042913-SludgeD1_13-18, Cmpd 17148, +MSn(411.8774), 36.99 min;042913-SludgeD1_19-24, Cmpd 17572, +MSn(411.8773), 36.87 min;042913-SludgeD1_19-24, Cmpd 17679, +MSn(411.8776), 37.09 min;042913-SludgeD1_25-30, Cmpd 17877, +MSn(411.8774), 37.03 min
3134	042913-SludgeD1_1-6, Cmpd 14192, +MSn(623.3387), 33.80 min
3144	042913-SludgeD1_1-6, Cmpd 18549, +MSn(589.3382), 44.28 min
3177	042913-SludgeD1_13-18, Cmpd 13232, +MSn(604.6476), 29.25 min
3188	042913-SludgeD1_13-18, Cmpd 20984, +MSn(549.9329), 46.29 min
3191	042913-SludgeD1_1-6, Cmpd 5480, +MSn(468.87), 15.05 min;042913-SludgeD1_1-6, Cmpd 5548, +MSn(468.8764), 15.22 min
3214	042913-SludgeD1_13-18, Cmpd 26403, +MSn(535.3248), 59.93 min
3232	042913-SludgeD1_13-18, Cmpd 5857, +MSn(426.2196), 14.60 min
3233	042913-SludgeD1_13-18, Cmpd 11241, +MSn(544.2939), 25.39 min
3293	042913-SludgeD1_13-18, Cmpd 15380, +MSn(485.2667), 33.38 min
3312	042913-SludgeD1_1-6, Cmpd 14930, +MSn(401.2113), 35.41 min
3355	042913-SludgeD1_13-18, Cmpd 15855, +MSn(458.5605), 34.29 min
3359	042913-SludgeD1_25-30, Cmpd 10145, +MSn(592.9615), 22.84 min
3362	042913-SludgeD1_25-30, Cmpd 5274, +MSn(451.2133), 13.10 min
3364	042913-SludgeD1_19-24, Cmpd 18106, +MSn(422.592), 37.96 min;042913-SludgeD1_13-18, Cmpd 17037, +MSn(422.59), 36.76 min
3381	042913-SludgeD1_19-24, Cmpd 26836, +MSn(427.2647), 60.10 min;042913-SludgeD1_13-18, Cmpd 26524, +MSn(427.265), 60.23 min
3472	042913-SludgeD1_25-30, Cmpd 20781, +MSn(479.2458), 43.98 min
3475	042913-SludgeD1_19-24, Cmpd 12478, +MSn(409.2042), 27.39 min
3480	042913-SludgeD1_13-18, Cmpd 26805, +MSn(570.3532), 60.92 min
3530	042913-SludgeD1_13-18, Cmpd 7900, +MSn(429.5496), 19.12 min
3553	042913-SludgeD1_25-30, Cmpd 14733, +MSn(498.5878), 31.26 min
3613	042913-SludgeD1_13-18, Cmpd 17867, +MSn(530.2757), 38.65 min
3624	042913-SludgeD1_19-24, Cmpd 17690, +MSn(444.2504), 37.11 min
3707	042913-SludgeD1_13-18, Cmpd 18754, +MSn(470.9313), 40.70 min
